Theta,Phi
-47.894,168.899
-47.869,168.984
-47.845,169.069
-47.821,169.154
-47.796,169.238
-47.771,169.323
-47.721,169.492
-47.697,169.576
-47.672,169.660
-47.646,169.744
-47.621,169.829
-47.596,169.912
-47.571,169.997
-47.546,170.080
-47.520,170.164
-47.495,170.248
-47.444,170.415
-47.418,170.498
-47.392,170.582
-47.366,170.665
-47.341,170.748
-47.315,170.831
-47.289,170.914
-47.262,170.997
-47.236,171.080
-47.210,171.162
-47.158,171.328
-47.131,171.410
-47.105,171.492
-47.078,171.575
-47.052,171.657
-47.025,171.739
-46.998,171.821
-46.972,171.903
-46.945,171.985
-46.891,172.148
-46.864,172.230
-46.837,172.311
-46.809,172.393
-46.782,172.474
-46.755,172.556
-46.728,172.637
-46.700,172.718
-46.673,172.799
-46.645,172.880
-46.618,172.961
-46.562,173.122
-46.534,173.202
-46.506,173.283
-46.479,173.363
-46.451,173.444
-46.422,173.524
-46.394,173.604
-46.366,173.684
-46.338,173.764
-46.281,173.924
-46.253,174.003
-46.224,174.083
-46.196,174.162
-46.167,174.242
-46.139,174.321
-46.110,174.400
-46.081,174.479
-46.052,174.559
-46.023,174.638
-45.965,174.795
-45.936,174.874
-45.907,174.953
-45.878,175.031
-45.849,175.110
-45.819,175.188
-45.790,175.266
-45.761,175.345
-45.731,175.423
-45.701,175.501
-45.642,175.657
-45.613,175.734
-45.582,175.812
-45.553,175.890
-45.523,175.967
-45.493,176.045
-45.463,176.122
-45.433,176.199
-45.402,176.276
-45.372,176.354
-45.312,176.508
-45.281,176.584
-45.251,176.661
-45.221,176.737
-45.190,176.814
-45.159,176.891
-45.129,176.967
-45.098,177.043
-45.067,177.119
-45.036,177.196
-44.974,177.348
-44.943,177.424
-44.912,177.499
-44.881,177.575
-44.850,177.651
-44.819,177.726
-44.788,177.802
-44.756,177.877
-44.725,177.952
-44.693,178.028
-44.630,178.177
-44.599,178.252
-44.567,178.327
-44.535,178.402
-44.504,178.477
-44.472,178.551
-44.440,178.626
-44.408,178.700
-44.376,178.774
-44.344,178.849
-44.280,178.997
-44.248,179.071
-44.215,179.145
-44.183,179.219
-44.151,179.292
-44.118,179.366
-44.086,179.439
-44.053,179.513
-44.021,179.586
-43.955,179.733
-43.922,179.806
-43.890,179.879
-43.857,179.952
-43.824,-179.975
-43.791,-179.902
-43.758,-179.830
-43.725,-179.757
-43.692,-179.685
-43.659,-179.612
-43.592,-179.468
-43.559,-179.396
-43.526,-179.323
-43.492,-179.251
-43.459,-179.179
-43.425,-179.108
-43.392,-179.036
-43.358,-178.964
-43.324,-178.892
-43.291,-178.821
-43.223,-178.678
-43.189,-178.607
-43.155,-178.536
-43.121,-178.465
-43.088,-178.394
-43.053,-178.323
-43.019,-178.252
-42.985,-178.181
-42.951,-178.111
-42.882,-177.969
-42.848,-177.899
-42.814,-177.829
-42.779,-177.758
-42.745,-177.688
-42.710,-177.618
-42.676,-177.548
-42.641,-177.478
-42.606,-177.408
-42.571,-177.339
-42.502,-177.199
-42.467,-177.130
-42.432,-177.060
-42.397,-176.991
-42.362,-176.922
-42.327,-176.852
-42.292,-176.783
-42.257,-176.714
-42.222,-176.645
-42.186,-176.576
-42.116,-176.439
-42.080,-176.370
-42.045,-176.302
-42.009,-176.233
-41.974,-176.165
-41.938,-176.097
-41.903,-176.029
-41.867,-175.960
-41.831,-175.892
-41.760,-175.756
-41.724,-175.689
-41.688,-175.621
-41.652,-175.553
-41.616,-175.486
-41.580,-175.418
-41.544,-175.351
-41.508,-175.283
-41.472,-175.216
-41.436,-175.149
-41.363,-175.015
-41.327,-174.948
-41.290,-174.881
-41.254,-174.814
-41.218,-174.748
-41.181,-174.681
-41.144,-174.614
-41.108,-174.548
-41.071,-174.482
-41.034,-174.415
-40.961,-174.283
-40.924,-174.217
-40.887,-174.151
-40.851,-174.085
-40.814,-174.019
-40.777,-173.953
-40.739,-173.888
-40.702,-173.822
-40.665,-173.757
-40.628,-173.691
-40.554,-173.561
-40.516,-173.495
-40.479,-173.430
-40.442,-173.365
-40.404,-173.300
-40.367,-173.235
-40.329,-173.171
-40.292,-173.106
-40.254,-173.041
-40.217,-172.976
-40.141,-172.848
-40.104,-172.783
-40.066,-172.719
-40.028,-172.655
-39.990,-172.591
-39.952,-172.526
-39.914,-172.462
-39.877,-172.399
-39.801,-172.271
-39.762,-172.207
-39.724,-172.144
-39.686,-172.080
-39.648,-172.017
-39.610,-171.953
-39.571,-171.890
-39.533,-171.827
-39.456,-171.700
-39.418,-171.638
-39.379,-171.574
-39.341,-171.512
-39.302,-171.449
-39.264,-171.386
-39.225,-171.323
-39.186,-171.261
-39.148,-171.198
-39.070,-171.074
-39.031,-171.011
-38.992,-170.949
-38.954,-170.887
-38.915,-170.825
-38.876,-170.763
-38.837,-170.701
-38.798,-170.639
-38.759,-170.577
-38.719,-170.516
-38.641,-170.392
-38.602,-170.331
-38.563,-170.269
-38.523,-170.208
-38.484,-170.147
-38.445,-170.086
-38.405,-170.025
-38.366,-169.964
-38.326,-169.902
-38.287,-169.842
-38.208,-169.720
-38.168,-169.659
-38.128,-169.599
-38.089,-169.538
-38.049,-169.478
-38.009,-169.417
-37.969,-169.357
-37.929,-169.297
-37.889,-169.236
-37.850,-169.176
-37.770,-169.056
-37.730,-168.996
-37.690,-168.936
-37.649,-168.877
-37.609,-168.817
-37.569,-168.757
-37.529,-168.698
-37.489,-168.638
-37.449,-168.579
-37.408,-168.519
-37.328,-168.401
-37.287,-168.342
-37.247,-168.283
-37.206,-168.223
-37.166,-168.164
-37.125,-168.106
-37.085,-168.047
-37.044,-167.988
-37.004,-167.929
-36.922,-167.812
-36.881,-167.754
-36.841,-167.695
-36.800,-167.637
-36.759,-167.579
-36.718,-167.520
-36.677,-167.462
-36.636,-167.404
-36.595,-167.346
-36.554,-167.288
-36.472,-167.172
-36.431,-167.114
-36.390,-167.057
-36.349,-166.999
-36.308,-166.942
-36.267,-166.884
-36.225,-166.827
-36.184,-166.769
-36.143,-166.712
-36.101,-166.655
-36.019,-166.540
-35.977,-166.483
-35.936,-166.426
-35.894,-166.369
-35.852,-166.312
-35.811,-166.256
-35.769,-166.199
-35.728,-166.142
-35.686,-166.086
-35.644,-166.029
-35.561,-165.916
-35.519,-165.860
-35.478,-165.804
-35.436,-165.747
-35.394,-165.691
-35.352,-165.635
-35.310,-165.579
-35.268,-165.523
-35.226,-165.467
-35.142,-165.356
-35.100,-165.300
-35.058,-165.244
-35.016,-165.188
-34.973,-165.133
-34.931,-165.078
-34.889,-165.022
