Theta,Phi
5.597,-130.589
5.648,-130.553
5.698,-130.517
5.749,-130.480
5.799,-130.444
5.850,-130.408
5.900,-130.371
5.951,-130.335
6.001,-130.298
6.052,-130.262
6.153,-130.189
6.204,-130.153
6.254,-130.116
6.305,-130.080
6.355,-130.044
6.406,-130.007
6.456,-129.971
6.507,-129.934
6.558,-129.898
6.608,-129.861
6.709,-129.788
6.760,-129.752
6.810,-129.715
6.861,-129.679
6.911,-129.642
6.962,-129.606
7.012,-129.569
7.063,-129.533
7.113,-129.496
7.214,-129.423
7.265,-129.386
7.315,-129.349
7.366,-129.313
7.416,-129.276
7.467,-129.240
7.517,-129.203
7.568,-129.166
7.618,-129.130
7.668,-129.093
7.769,-129.020
7.820,-128.983
7.870,-128.946
7.921,-128.909
7.971,-128.873
8.022,-128.836
8.072,-128.799
8.123,-128.762
8.173,-128.726
8.223,-128.689
8.324,-128.615
8.374,-128.579
8.425,-128.542
8.475,-128.505
8.526,-128.468
8.576,-128.431
8.626,-128.394
8.677,-128.357
8.727,-128.321
8.778,-128.284
8.878,-128.210
8.929,-128.173
8.979,-128.136
9.029,-128.099
9.080,-128.062
9.130,-128.025
9.180,-127.988
9.231,-127.951
9.281,-127.914
9.382,-127.840
9.432,-127.803
9.482,-127.766
9.532,-127.729
9.583,-127.692
9.633,-127.654
9.683,-127.617
9.734,-127.580
9.784,-127.543
9.834,-127.506
9.935,-127.432
9.985,-127.394
10.035,-127.357
10.086,-127.320
10.136,-127.283
10.186,-127.246
10.236,-127.208
10.286,-127.171
10.337,-127.134
10.387,-127.096
10.487,-127.022
10.538,-126.984
10.588,-126.947
10.638,-126.910
10.688,-126.872
10.738,-126.835
10.788,-126.798
10.839,-126.760
10.889,-126.723
10.939,-126.685
11.039,-126.610
11.089,-126.573
11.139,-126.535
11.189,-126.498
11.240,-126.460
11.290,-126.423
11.340,-126.385
11.390,-126.348
11.440,-126.310
11.540,-126.235
11.590,-126.197
11.641,-126.159
11.691,-126.122
11.741,-126.084
11.791,-126.046
11.841,-126.009
11.891,-125.971
11.941,-125.933
11.991,-125.895
12.091,-125.820
12.141,-125.782
12.191,-125.744
12.241,-125.706
12.291,-125.669
12.341,-125.631
12.391,-125.593
12.441,-125.555
12.491,-125.517
12.541,-125.479
12.641,-125.403
12.691,-125.365
12.741,-125.327
12.791,-125.289
12.841,-125.251
12.890,-125.213
12.940,-125.175
12.990,-125.137
13.040,-125.099
13.090,-125.061
13.190,-124.984
13.240,-124.946
13.289,-124.908
13.339,-124.870
13.389,-124.831
13.439,-124.793
13.489,-124.755
13.539,-124.717
13.589,-124.678
13.688,-124.602
13.738,-124.563
13.788,-124.525
13.838,-124.487
13.887,-124.448
13.937,-124.410
13.987,-124.371
14.037,-124.333
14.086,-124.294
14.136,-124.256
14.236,-124.179
14.285,-124.140
14.335,-124.102
14.385,-124.063
14.434,-124.024
14.484,-123.986
14.534,-123.947
14.583,-123.909
14.633,-123.870
14.683,-123.831
14.782,-123.754
14.832,-123.715
14.881,-123.676
14.931,-123.637
14.981,-123.599
15.030,-123.560
15.080,-123.521
15.129,-123.482
15.179,-123.443
15.278,-123.365
15.328,-123.326
15.377,-123.287
15.427,-123.248
15.476,-123.209
15.526,-123.170
15.575,-123.131
15.625,-123.092
15.674,-123.053
15.724,-123.014
15.823,-122.935
15.872,-122.896
15.922,-122.857
15.971,-122.818
16.021,-122.778
16.070,-122.739
16.119,-122.700
16.169,-122.661
16.218,-122.621
16.267,-122.582
16.366,-122.503
16.416,-122.463
16.465,-122.424
16.514,-122.384
16.564,-122.345
16.613,-122.306
16.662,-122.266
16.712,-122.226
16.761,-122.187
16.859,-122.107
16.909,-122.068
16.958,-122.028
17.007,-121.988
17.057,-121.949
17.106,-121.909
17.155,-121.869
17.204,-121.829
17.253,-121.789
17.303,-121.750
17.401,-121.670
17.450,-121.630
17.499,-121.590
17.549,-121.550
17.598,-121.510
17.647,-121.470
17.696,-121.430
17.745,-121.390
17.794,-121.350
17.892,-121.269
17.941,-121.229
17.991,-121.189
18.039,-121.149
18.089,-121.109
18.138,-121.068
18.187,-121.028
18.236,-120.988
18.334,-120.907
18.382,-120.867
18.432,-120.826
18.481,-120.786
18.529,-120.745
18.578,-120.705
18.627,-120.664
18.676,-120.624
18.725,-120.583
18.774,-120.543
18.872,-120.461
18.921,-120.421
18.969,-120.380
19.018,-120.339
19.067,-120.299
19.116,-120.258
19.165,-120.217
19.214,-120.176
19.262,-120.135
19.360,-120.053
19.409,-120.012
19.458,-119.971
19.506,-119.931
19.555,-119.889
19.604,-119.848
19.652,-119.807
19.701,-119.766
19.750,-119.725
19.798,-119.684
19.896,-119.601
19.944,-119.560
19.993,-119.519
20.042,-119.478
20.090,-119.436
20.139,-119.395
20.187,-119.354
20.236,-119.312
20.284,-119.271
20.333,-119.229
20.430,-119.146
20.479,-119.105
20.527,-119.063
20.576,-119.021
20.624,-118.980
20.672,-118.938
20.721,-118.896
20.769,-118.855
20.866,-118.771
20.914,-118.729
20.963,-118.688
21.011,-118.646
21.060,-118.604
21.108,-118.562
21.156,-118.520
21.205,-118.478
21.253,-118.436
21.301,-118.394
21.398,-118.309
21.446,-118.267
21.494,-118.225
21.542,-118.183
21.591,-118.141
21.639,-118.098
21.687,-118.056
21.735,-118.014
21.784,-117.971
21.832,-117.929
21.928,-117.844
21.976,-117.801
22.024,-117.759
22.072,-117.716
22.120,-117.674
22.168,-117.631
22.216,-117.588
22.264,-117.546
22.312,-117.503
22.361,-117.460
22.456,-117.375
22.504,-117.332
22.553,-117.289
22.600,-117.246
22.648,-117.203
22.696,-117.160
22.744,-117.117
22.792,-117.074
22.840,-117.031
22.888,-116.988
22.983,-116.901
23.031,-116.858
23.079,-116.815
23.127,-116.772
23.175,-116.728
23.222,-116.685
23.270,-116.642
23.318,-116.598
23.366,-116.555
23.413,-116.511
23.509,-116.424
23.556,-116.381
23.604,-116.337
23.652,-116.293
23.699,-116.249
23.747,-116.206
23.794,-116.162
23.842,-116.118
23.889,-116.074
23.985,-115.986
24.032,-115.943
24.080,-115.899
24.127,-115.854
24.174,-115.811
24.222,-115.766
24.269,-115.722
24.317,-115.678
24.364,-115.634
24.412,-115.590
24.506,-115.501
24.554,-115.457
24.601,-115.412
24.648,-115.368
24.696,-115.323
24.743,-115.279
24.790,-115.234
24.838,-115.190
24.885,-115.145
24.932,-115.101
25.026,-115.011
25.074,-114.966
25.121,-114.922
25.168,-114.877
25.215,-114.832
25.262,-114.787
25.309,-114.742
25.356,-114.697
25.403,-114.652
25.450,-114.607
25.544,-114.517
25.591,-114.472
25.638,-114.426
25.685,-114.381
25.732,-114.336
25.779,-114.290
25.826,-114.245
25.873,-114.200
25.920,-114.154
26.014,-114.063
26.060,-114.018
26.107,-113.972
26.154,-113.926
26.201,-113.881
26.248,-113.835
26.294,-113.789
26.341,-113.743
26.388,-113.698
26.434,-113.651
26.528,-113.560
26.574,-113.514
26.621,-113.468
26.668,-113.421
26.714,-113.375
26.761,-113.329
26.807,-113.283
26.854,-113.237
26.900,-113.190
26.947,-113.144
27.040,-113.051
27.086,-113.005
27.132,-112.958
27.179,-112.912
27.225,-112.865
27.272,-112.818
27.318,-112.772
27.364,-112.725
27.411,-112.678
27.457,-112.631
27.549,-112.538
27.596,-112.491
27.642,-112.444
27.688,-112.397
27.734,-112.349
27.781,-112.302
27.827,-112.255
27.873,-112.208
27.919,-112.161
27.965,-112.114
28.057,-112.019
28.103,-111.971
28.149,-111.924
28.195,-111.876
28.241,-111.829
28.287,-111.781
28.333,-111.734
28.379,-111.686
28.425,-111.638
28.517,-111.542
28.562,-111.495
28.608,-111.447
28.654,-111.399
28.700,-111.351
28.746,-111.303
28.791,-111.254
28.837,-111.206
28.883,-111.158
28.928,-111.110
29.020,-111.013
29.065,-110.965
29.111,-110.917
29.156,-110.868
29.202,-110.819
29.248,-110.771
29.293,-110.722
29.339,-110.674
29.384,-110.625
29.429,-110.576
29.520,-110.479
29.566,-110.430
29.611,-110.381
29.656,-110.332
29.702,-110.283
29.747,-110.234
29.792,-110.184
29.838,-110.135
29.883,-110.086
29.928,-110.037
30.018,-109.938
30.063,-109.889
30.109,-109.839
30.154,-109.789
30.199,-109.740
30.244,-109.690
30.289,-109.641
30.334,-109.591
30.379,-109.541
30.424,-109.491
30.514,-109.392
30.559,-109.342
30.604,-109.292
30.648,-109.241
30.693,-109.191
30.738,-109.141
30.783,-109.091
30.828,-109.041
30.872,-108.990
30.962,-108.889
31.006,-108.839
31.051,-108.788
31.096,-108.738
31.140,-108.687
31.185,-108.637
31.229,-108.586
31.274,-108.535
31.319,-108.484
31.363,-108.433
31.452,-108.331
31.496,-108.280
31.541,-108.229
31.585,-108.178
31.629,-108.127
31.674,-108.076
31.718,-108.024
31.762,-107.973
31.807,-107.921
31.895,-107.818
31.939,-107.767
31.983,-107.715
32.027,-107.663
32.072,-107.612
32.116,-107.560
32.160,-107.508
32.204,-107.456
32.292,-107.352
32.336,-107.300
32.380,-107.248
32.424,-107.196
32.468,-107.143
32.511,-107.091
32.555,-107.039
32.599,-106.986
32.643,-106.934
32.730,-106.829
32.774,-106.776
32.818,-106.724
32.861,-106.671
32.905,-106.618
32.949,-106.565
32.992,-106.512
33.036,-106.459
33.079,-106.406
33.123,-106.353
33.210,-106.247
33.253,-106.194
33.296,-106.140
33.340,-106.087
33.383,-106.033
33.427,-105.980
33.470,-105.926
33.513,-105.873
33.556,-105.819
33.599,-105.766
33.686,-105.658
33.729,-105.604
33.772,-105.550
33.815,-105.496
33.858,-105.442
33.901,-105.388
33.944,-105.334
33.987,-105.279
34.030,-105.225
34.073,-105.171
34.159,-105.062
34.202,-105.007
34.244,-104.953
34.287,-104.898
34.330,-104.843
34.372,-104.789
34.415,-104.734
34.458,-104.679
34.501,-104.624
34.543,-104.569
34.628,-104.459
34.671,-104.403
34.713,-104.348
34.756,-104.293
34.798,-104.238
34.841,-104.182
34.883,-104.126
34.925,-104.071
34.968,-104.015
35.052,-103.904
35.094,-103.848
35.136,-103.792
35.179,-103.736
35.221,-103.680
35.263,-103.624
35.305,-103.568
35.347,-103.512
35.389,-103.456
35.431,-103.399
35.515,-103.286
35.557,-103.230
35.599,-103.173
35.641,-103.117
35.682,-103.060
35.724,-103.003
35.766,-102.946
35.808,-102.889
35.849,-102.832
35.891,-102.776
35.974,-102.661
36.016,-102.604
36.057,-102.547
36.099,-102.489
36.140,-102.432
36.181,-102.374
36.223,-102.317
36.264,-102.259
36.306,-102.202
36.388,-102.086
36.429,-102.028
36.471,-101.970
36.512,-101.912
36.553,-101.854
36.594,-101.796
36.635,-101.738
36.676,-101.680
36.717,-101.621
36.758,-101.563
36.840,-101.446
36.881,-101.387
36.922,-101.329
36.963,-101.270
37.003,-101.211
37.044,-101.152
37.085,-101.093
37.125,-101.034
37.166,-100.975
37.207,-100.916
37.288,-100.798
37.328,-100.738
37.369,-100.679
37.409,-100.619
37.449,-100.560
37.490,-100.500
37.530,-100.440
37.571,-100.381
37.611,-100.321
37.691,-100.201
37.731,-100.141
37.772,-100.081
37.812,-100.021
37.852,-99.960
37.892,-99.900
37.932,-99.839
37.972,-99.779
38.012,-99.719
38.051,-99.658
38.131,-99.536
38.171,-99.476
38.211,-99.415
38.250,-99.354
38.290,-99.293
38.330,-99.232
38.369,-99.171
38.409,-99.109
38.448,-99.048
38.488,-98.987
38.567,-98.864
38.606,-98.802
38.646,-98.740
38.685,-98.679
38.724,-98.617
38.763,-98.555
38.802,-98.493
38.842,-98.431
38.881,-98.369
38.920,-98.306
38.998,-98.182
39.037,-98.119
39.076,-98.057
39.114,-97.994
39.153,-97.932
39.192,-97.869
39.231,-97.806
39.270,-97.744
39.308,-97.681
39.347,-97.617
39.424,-97.491
39.463,-97.428
39.501,-97.365
39.540,-97.301
39.578,-97.238
39.617,-97.174
39.655,-97.111
39.693,-97.047
39.732,-96.983
39.808,-96.856
39.846,-96.792
39.884,-96.728
39.922,-96.664
39.960,-96.599
39.998,-96.535
40.036,-96.471
40.074,-96.406
40.112,-96.342
40.150,-96.277
40.225,-96.148
40.263,-96.083
40.301,-96.018
40.338,-95.953
40.376,-95.888
40.414,-95.823
40.451,-95.758
40.489,-95.693
40.526,-95.627
40.563,-95.562
40.638,-95.431
40.675,-95.365
40.712,-95.299
40.749,-95.233
40.787,-95.167
40.824,-95.101
40.861,-95.035
40.898,-94.969
40.935,-94.903
40.972,-94.837
41.045,-94.704
41.082,-94.637
41.119,-94.571
41.156,-94.504
41.192,-94.437
41.229,-94.370
41.265,-94.303
41.302,-94.236
41.338,-94.169
41.375,-94.102
41.448,-93.968
41.484,-93.900
41.520,-93.832
41.556,-93.765
41.592,-93.698
41.628,-93.630
41.664,-93.562
41.701,-93.494
41.737,-93.426
41.808,-93.290
41.844,-93.221
41.880,-93.153
41.916,-93.085
41.951,-93.016
41.987,-92.948
42.023,-92.879
42.058,-92.811
42.094,-92.742
42.129,-92.673
42.200,-92.535
42.236,-92.466
42.271,-92.396
42.306,-92.327
42.341,-92.258
42.376,-92.188
42.411,-92.119
42.447,-92.049
42.482,-91.979
42.516,-91.910
42.586,-91.770
42.621,-91.700
42.656,-91.630
42.691,-91.559
42.725,-91.489
42.760,-91.419
42.794,-91.349
42.829,-91.278
42.864,-91.207
42.932,-91.066
42.967,-90.995
43.001,-90.924
43.035,-90.853
43.069,-90.782
43.103,-90.711
43.138,-90.639
43.172,-90.568
43.206,-90.497
43.239,-90.425
43.307,-90.282
43.341,-90.210
43.375,-90.138
43.408,-90.066
43.442,-89.994
43.476,-89.922
43.509,-89.850
43.543,-89.778
43.576,-89.705
43.609,-89.632
43.676,-89.487
43.709,-89.415
43.742,-89.342
43.776,-89.269
43.809,-89.196
43.842,-89.123
43.908,-88.976
43.941,-88.903
43.973,-88.830
44.006,-88.756
44.039,-88.682
44.071,-88.609
44.104,-88.535
44.137,-88.461
44.169,-88.388
44.234,-88.239
44.266,-88.165
44.299,-88.091
44.331,-88.016
44.363,-87.942
44.395,-87.867
44.427,-87.793
44.459,-87.718
44.491,-87.643
44.523,-87.569
44.587,-87.418
44.618,-87.343
44.650,-87.268
44.682,-87.193
44.713,-87.117
44.745,-87.042
44.776,-86.966
44.808,-86.891
44.839,-86.815
44.870,-86.739
44.932,-86.587
44.964,-86.511
44.995,-86.435
45.026,-86.359
45.057,-86.282
45.088,-86.206
45.119,-86.129
45.149,-86.053
45.180,-85.976
45.211,-85.899
45.272,-85.745
45.302,-85.668
45.333,-85.591
45.363,-85.514
45.393,-85.437
45.424,-85.359
45.454,-85.282
45.484,-85.204
45.514,-85.126
45.544,-85.049
45.604,-84.893
45.634,-84.815
45.664,-84.737
45.694,-84.659
45.723,-84.580
45.753,-84.502
45.782,-84.423
45.812,-84.345
45.841,-84.266
45.900,-84.109
45.929,-84.030
45.958,-83.951
45.988,-83.872
46.017,-83.792
46.046,-83.713
46.075,-83.634
46.104,-83.554
46.132,-83.475
46.161,-83.396
46.219,-83.236
46.247,-83.156
46.276,-83.076
46.304,-82.996
46.332,-82.916
46.361,-82.836
46.389,-82.756
46.417,-82.675
46.446,-82.595
46.474,-82.514
46.529,-82.352
46.558,-82.272
46.585,-82.191
46.613,-82.110
46.641,-82.029
46.668,-81.948
46.696,-81.866
46.724,-81.785
46.751,-81.704
46.778,-81.622
46.833,-81.459
46.860,-81.377
46.887,-81.295
46.914,-81.213
46.941,-81.131
46.968,-81.049
46.995,-80.967
47.022,-80.884
47.049,-80.802
47.102,-80.637
47.129,-80.554
47.155,-80.471
47.182,-80.389
47.208,-80.306
47.234,-80.223
47.261,-80.140
47.287,-80.056
47.313,-79.973
47.339,-79.890
47.391,-79.723
47.416,-79.639
47.442,-79.556
47.468,-79.472
47.493,-79.388
47.519,-79.304
47.544,-79.220
47.570,-79.136
47.595,-79.052
47.621,-78.967
47.671,-78.798
47.696,-78.714
47.721,-78.629
47.746,-78.544
47.771,-78.460
47.796,-78.375
47.820,-78.290
47.845,-78.205
47.869,-78.120
47.894,-78.034
47.943,-77.864
47.967,-77.778
47.991,-77.693
48.016,-77.607
48.040,-77.521
48.064,-77.435
48.088,-77.349
48.112,-77.263
48.136,-77.177
48.183,-77.005
48.207,-76.919
48.230,-76.832
48.254,-76.746
48.277,-76.659
48.300,-76.572
48.324,-76.486
48.347,-76.399
48.370,-76.312
48.393,-76.225
48.439,-76.051
48.461,-75.964
48.484,-75.876
48.507,-75.789
48.529,-75.701
48.552,-75.614
48.574,-75.526
48.597,-75.438
48.619,-75.351
48.641,-75.262
48.686,-75.087
48.708,-74.998
48.730,-74.910
48.752,-74.822
48.773,-74.734
48.795,-74.645
48.817,-74.556
48.838,-74.468
48.860,-74.379
48.881,-74.290
48.924,-74.112
48.945,-74.024
48.966,-73.934
48.987,-73.845
49.008,-73.756
49.029,-73.667
49.050,-73.577
49.071,-73.488
49.091,-73.398
49.112,-73.309
49.153,-73.129
49.173,-73.039
49.193,-72.949
49.214,-72.859
49.234,-72.769
49.254,-72.679
49.274,-72.589
49.294,-72.498
49.314,-72.408
49.353,-72.227
49.372,-72.136
49.392,-72.045
49.411,-71.954
49.431,-71.864
49.450,-71.773
49.469,-71.682
49.489,-71.591
49.508,-71.499
49.526,-71.408
49.564,-71.226
49.583,-71.134
49.602,-71.042
49.620,-70.951
49.639,-70.859
49.657,-70.767
49.675,-70.676
49.694,-70.584
49.712,-70.492
49.730,-70.399
49.766,-70.215
49.784,-70.123
49.801,-70.031
49.819,-69.938
49.837,-69.846
49.854,-69.753
49.872,-69.661
49.889,-69.568
49.906,-69.475
49.924,-69.382
49.958,-69.196
49.975,-69.103
49.992,-69.010
50.009,-68.917
50.025,-68.824
50.042,-68.731
50.058,-68.637
50.075,-68.544
50.091,-68.450
50.124,-68.263
50.140,-68.169
50.156,-68.076
50.172,-67.982
50.188,-67.888
50.204,-67.794
50.219,-67.700
50.235,-67.606
50.251,-67.511
50.266,-67.417
50.297,-67.229
50.312,-67.134
50.328,-67.040
50.342,-66.945
50.358,-66.851
50.372,-66.756
50.387,-66.661
50.402,-66.566
50.417,-66.471
50.431,-66.376
50.460,-66.186
50.474,-66.091
50.489,-65.996
50.503,-65.901
50.517,-65.806
50.531,-65.710
50.545,-65.615
50.558,-65.519
50.572,-65.424
50.586,-65.328
50.613,-65.137
50.626,-65.041
50.639,-64.946
50.652,-64.850
50.666,-64.754
50.679,-64.658
50.692,-64.562
50.705,-64.466
50.718,-64.369
50.743,-64.177
50.755,-64.081
50.768,-63.984
50.780,-63.888
50.792,-63.792
50.804,-63.695
50.816,-63.599
50.840,-63.405
50.852,-63.308
50.864,-63.212
50.876,-63.115
50.887,-63.018
50.899,-62.921
50.910,-62.824
50.921,-62.727
50.932,-62.630
50.955,-62.436
50.966,-62.339
50.976,-62.241
50.987,-62.144
50.998,-62.047
51.009,-61.949
51.019,-61.852
51.029,-61.754
51.040,-61.657
51.050,-61.559
51.070,-61.364
51.080,-61.266
51.090,-61.168
51.100,-61.071
51.110,-60.973
51.119,-60.875
51.129,-60.777
51.138,-60.679
51.148,-60.581
51.157,-60.483
51.175,-60.286
51.184,-60.188
51.193,-60.090
51.202,-59.992
51.211,-59.893
51.219,-59.795
51.228,-59.697
51.236,-59.598
51.245,-59.500
51.253,-59.401
51.269,-59.204
51.277,-59.106
51.285,-59.007
51.293,-58.908
51.301,-58.810
51.308,-58.711
51.316,-58.612
51.323,-58.513
51.331,-58.414
51.345,-58.217
51.352,-58.118
51.359,-58.019
51.366,-57.920
51.373,-57.821
51.380,-57.722
51.387,-57.622
51.393,-57.523
51.399,-57.424
51.406,-57.325
51.418,-57.127
51.424,-57.027
51.431,-56.928
51.436,-56.829
51.442,-56.729
51.448,-56.630
51.454,-56.531
51.459,-56.431
51.465,-56.332
51.470,-56.232
51.481,-56.033
51.486,-55.934
51.491,-55.834
51.496,-55.734
51.501,-55.635
51.505,-55.535
51.510,-55.436
51.514,-55.336
51.519,-55.236
51.523,-55.136
51.532,-54.937
51.536,-54.837
51.540,-54.737
51.544,-54.638
51.548,-54.538
51.551,-54.438
51.555,-54.338
51.558,-54.238
51.562,-54.138
51.568,-53.938
51.572,-53.838
51.575,-53.738
51.578,-53.638
51.581,-53.538
51.583,-53.438
51.586,-53.338
51.589,-53.238
51.591,-53.138
51.594,-53.038
51.598,-52.838
51.600,-52.738
51.602,-52.638
51.604,-52.538
51.606,-52.438
51.608,-52.338
51.610,-52.237
51.611,-52.137
51.613,-52.037
51.614,-51.937
51.617,-51.736
51.618,-51.636
51.619,-51.536
51.620,-51.436
51.621,-51.336
51.622,-51.236
51.622,-51.135
51.623,-51.035
51.623,-50.935
51.624,-50.835
51.624,-50.634
51.624,-50.534
51.624,-50.434
51.624,-50.334
51.624,-50.234
51.624,-50.133
51.624,-50.033
51.623,-49.933
51.622,-49.833
51.622,-49.732
51.621,-49.532
51.620,-49.432
51.619,-49.332
51.618,-49.232
51.616,-49.131
51.615,-49.031
51.614,-48.931
51.612,-48.831
51.611,-48.731
51.609,-48.631
51.606,-48.431
51.604,-48.330
51.602,-48.230
51.599,-48.130
51.597,-48.030
51.595,-47.930
51.592,-47.830
51.590,-47.730
51.588,-47.630
51.582,-47.430
51.579,-47.330
51.576,-47.230
51.573,-47.130
51.570,-47.030
51.567,-46.930
51.564,-46.830
51.560,-46.730
51.557,-46.630
51.553,-46.530
51.546,-46.331
51.542,-46.231
51.538,-46.131
51.534,-46.031
51.530,-45.931
51.526,-45.832
51.521,-45.732
51.517,-45.632
51.512,-45.532
51.508,-45.433
51.498,-45.233
51.493,-45.134
51.488,-45.034
51.483,-44.935
51.478,-44.835
51.473,-44.736
51.468,-44.636
51.462,-44.537
51.457,-44.437
51.451,-44.338
51.440,-44.139
51.434,-44.039
51.428,-43.940
51.422,-43.841
51.416,-43.742
51.409,-43.642
51.403,-43.543
51.397,-43.444
51.390,-43.345
51.384,-43.246
51.370,-43.048
51.363,-42.949
51.356,-42.849
51.349,-42.751
51.342,-42.652
51.335,-42.553
51.328,-42.454
51.320,-42.355
51.312,-42.256
51.297,-42.059
51.289,-41.960
51.282,-41.861
51.274,-41.763
51.266,-41.664
51.258,-41.566
51.249,-41.467
51.241,-41.369
51.232,-41.270
51.224,-41.172
51.207,-40.975
51.198,-40.877
51.189,-40.778
51.180,-40.680
51.171,-40.582
51.162,-40.484
51.153,-40.386
51.143,-40.288
51.134,-40.190
51.124,-40.092
51.105,-39.896
51.096,-39.798
51.086,-39.700
51.076,-39.602
51.066,-39.505
51.056,-39.407
51.045,-39.309
51.035,-39.212
51.025,-39.114
51.014,-39.017
50.993,-38.822
50.982,-38.725
50.972,-38.627
50.961,-38.530
50.950,-38.433
50.939,-38.336
50.927,-38.239
50.916,-38.141
50.905,-38.044
50.882,-37.851
50.870,-37.754
50.859,-37.657
50.847,-37.560
50.835,-37.463
50.823,-37.367
50.811,-37.270
50.799,-37.174
50.787,-37.077
50.774,-36.981
50.749,-36.788
50.737,-36.692
50.724,-36.595
50.711,-36.499
50.699,-36.403
50.686,-36.307
50.673,-36.211
50.660,-36.115
50.647,-36.019
50.633,-35.923
50.607,-35.732
50.593,-35.636
50.579,-35.541
50.566,-35.445
50.552,-35.349
50.538,-35.254
50.524,-35.159
50.510,-35.063
50.496,-34.968
50.482,-34.873
50.453,-34.682
50.439,-34.588
50.424,-34.492
50.410,-34.398
50.395,-34.303
50.380,-34.208
50.351,-34.019
50.336,-33.924
50.320,-33.829
50.305,-33.735
50.290,-33.641
50.274,-33.546
50.259,-33.452
50.244,-33.358
50.228,-33.264
50.196,-33.075
50.181,-32.981
50.165,-32.888
50.149,-32.794
50.132,-32.700
50.116,-32.606
50.100,-32.513
50.084,-32.419
50.067,-32.326
50.034,-32.139
50.018,-32.045
50.001,-31.952
49.984,-31.859
49.967,-31.766
49.950,-31.673
49.933,-31.580
49.916,-31.487
49.898,-31.394
49.881,-31.301
49.846,-31.116
49.829,-31.024
49.811,-30.931
49.793,-30.839
49.775,-30.746
49.758,-30.654
49.739,-30.562
49.721,-30.470
49.703,-30.378
49.685,-30.286
49.648,-30.102
49.630,-30.011
49.611,-29.919
49.593,-29.827
49.574,-29.736
49.555,-29.644
49.536,-29.553
49.518,-29.461
49.499,-29.370
49.479,-29.279
49.441,-29.097
49.422,-29.006
49.402,-28.915
49.383,-28.824
49.363,-28.734
49.344,-28.643
49.324,-28.553
49.304,-28.462
49.284,-28.372
49.264,-28.281
49.224,-28.101
49.204,-28.011
49.184,-27.921
49.163,-27.831
49.143,-27.741
49.122,-27.651
49.102,-27.561
49.081,-27.472
49.061,-27.382
49.019,-27.203
48.998,-27.114
48.977,-27.025
48.956,-26.936
48.935,-26.846
48.914,-26.758
48.892,-26.669
48.871,-26.580
48.849,-26.491
48.828,-26.402
48.784,-26.225
48.763,-26.137
48.741,-26.048
48.719,-25.960
48.697,-25.872
48.675,-25.784
48.653,-25.696
48.631,-25.608
48.608,-25.520
48.586,-25.432
48.541,-25.257
48.519,-25.169
48.496,-25.082
48.473,-24.994
48.450,-24.907
48.427,-24.820
48.405,-24.732
48.382,-24.645
48.359,-24.558
48.335,-24.471
48.289,-24.298
48.266,-24.211
48.242,-24.125
48.219,-24.038
48.195,-23.952
48.171,-23.866
48.148,-23.779
48.124,-23.693
48.100,-23.607
48.076,-23.521
48.028,-23.349
48.004,-23.264
47.979,-23.178
47.955,-23.092
47.931,-23.007
47.906,-22.922
47.882,-22.836
47.858,-22.751
47.833,-22.666
47.808,-22.581
47.758,-22.411
47.734,-22.326
47.709,-22.241
47.684,-22.157
47.658,-22.072
47.633,-21.988
47.608,-21.904
47.582,-21.819
47.557,-21.735
47.506,-21.567
47.481,-21.483
47.455,-21.399
47.429,-21.315
47.403,-21.232
47.378,-21.148
47.352,-21.064
47.326,-20.981
47.299,-20.898
47.273,-20.814
47.221,-20.648
47.195,-20.565
47.168,-20.482
47.142,-20.399
47.115,-20.317
47.089,-20.234
47.062,-20.152
47.035,-20.069
47.009,-19.987
46.982,-19.904
46.928,-19.740
46.901,-19.658
46.874,-19.576
46.846,-19.494
46.819,-19.412
46.792,-19.331
46.764,-19.249
46.737,-19.168
46.709,-19.086
46.682,-19.005
46.627,-18.842
46.599,-18.761
46.571,-18.681
46.543,-18.599
46.515,-18.519
46.487,-18.438
46.459,-18.358
46.431,-18.277
46.403,-18.196
46.346,-18.036
46.318,-17.956
46.289,-17.875
46.261,-17.795
46.232,-17.716
46.204,-17.636
46.175,-17.556
46.146,-17.476
46.118,-17.397
46.089,-17.317
46.031,-17.158
46.002,-17.079
45.973,-17.000
45.943,-16.921
45.914,-16.842
45.885,-16.763
45.855,-16.684
45.826,-16.606
45.796,-16.527
45.767,-16.448
45.708,-16.292
45.678,-16.213
45.648,-16.135
45.618,-16.057
45.588,-15.979
45.558,-15.901
45.528,-15.823
45.498,-15.746
45.468,-15.668
45.408,-15.513
45.378,-15.435
45.347,-15.358
45.317,-15.281
45.286,-15.204
45.256,-15.127
45.225,-15.050
45.194,-14.973
45.164,-14.896
45.133,-14.819
45.071,-14.666
45.040,-14.590
45.009,-14.514
44.978,-14.437
44.947,-14.361
44.916,-14.285
44.885,-14.209
44.853,-14.133
44.822,-14.057
44.791,-13.981
44.728,-13.830
44.696,-13.755
44.665,-13.679
44.633,-13.604
44.601,-13.529
44.569,-13.454
44.538,-13.379
44.506,-13.304
44.474,-13.229
44.442,-13.154
44.378,-13.005
44.346,-12.930
44.313,-12.856
44.281,-12.782
44.249,-12.707
44.216,-12.633
44.184,-12.559
44.151,-12.485
44.119,-12.411
44.054,-12.264
44.021,-12.190
43.988,-12.116
43.955,-12.043
43.922,-11.969
43.890,-11.896
43.857,-11.823
43.824,-11.750
43.791,-11.677
43.758,-11.604
43.691,-11.458
